
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
987,1988,NBA,1,17,UTA,Eric Leckner,22.038,C-F,,University of Wyoming,1989,1997,449,4.1,3.2,0.5,0.2,0.3,.508,.510,.000,.669,6.2,.054
988,1994,NBA,2,35,SAC,Michael Smith,22.098,F,,Providence College,1995,2001,449,5.6,7.1,1.5,0.8,0.6,.538,.539,.143,.529,23.4,.107
989,2006,NBA,2,32,HOU,Steve Novak,23.021,F,,Marquette University,2007,2015,449,4.8,1.3,0.3,0.2,0.1,.438,.463,.431,.876,14.4,.124
990,1976,NBA,1,10,PHO,Ron Lee,24.224,G,,University of Oregon,1977,1982,448,7.3,2.7,3.8,1.9,0.3,.416,.420,.321,.705,10.7,.054
991,1986,NBA,1,5,NYK,Kenny Walker,22.308,F,,University of Kentucky,1987,1995,448,7.0,4.0,0.7,0.5,0.7,.485,.489,.206,.749,17.9,.095
992,1999,NBA,1,28,UTA,Scott Padgett,23.077,F,,University of Kentucky,2000,2007,448,4.2,2.7,0.7,0.4,0.2,.410,.433,.373,.736,13.2,.113
993,2000,NBA,2,30,LAC,Marko Jaric,22.265,G,,,2003,2009,447,7.1,2.7,3.6,1.3,0.3,.404,.428,.344,.730,12.1,.052
994,1970,NBA,1,8,POR,Geoff Petrie,22.345,G,,Princeton University,1971,1976,446,21.8,2.8,4.6,0.6,0.1,.455,.455,,.805,26.1,.075
995,1974,NBA,1,3,SEA,Tom Burleson,22.099,C,,North Carolina State University,1975,1981,446,9.4,6.3,1.3,0.7,1.3,.445,.445,.000,.726,22.9,.117
996,1975,NBA,1,15,CLE,John Lambert,22.140,C-F,,University of Southern California,1976,1982,446,3.8,3.3,0.6,0.3,0.4,.428,.430,.083,.693,6.9,.060
997,2000,NBA,1,3,LAC,Darius Miles,19.267,F,,,2001,2009,446,10.1,4.9,1.9,0.9,1.1,.472,.482,.168,.590,9.5,.039
998,2008,NBA,1,24,SEA,Serge Ibaka,19.286,F,,,2010,2015,446,11.4,7.5,0.5,0.4,2.6,.533,.547,.372,.744,42.1,.160
999,1970,NBA,2,24,BUF,Cornell Warner,22.228,F-C,,Jackson State University,1971,1977,445,6.4,7.5,1.1,0.3,0.3,.452,.452,,.672,15.8,.072
1000,1996,NBA,1,9,DAL,Samaki Walker,20.127,F,,University of Louisville,1997,2006,445,5.3,4.7,0.6,0.3,0.7,.462,.464,.111,.630,14.2,.089
